Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,30,5.617807089538027,"[0.06457771277836172, 0.45074002035523736, 0.31385936654911417]","[3.5768093984344214, 3.382464081577051, 4.293922079654939]","[0.3721188190006627, -0.2740211037820175, 0.0021996187653680055]"
1,0,0,31,5.882922087506576,"[0.4519984377477785, 0.07967821832922622, 0.2551673720158482]","[6.14597912325426, 2.852486922019256, 4.118681451392223]","[0.12081891918333243, -0.22415398327382619, -0.291631199113487]"
1,0,0,32,5.4936993436999275,"[0.4245757923876058, 0.43545520327585097, 0.18218797248487145]","[0.9138726909959008, 5.327868405544224, 4.05606696127641]","[-0.4466354089980643, 0.46585812813237937, -0.13730237383705546]"
1,0,0,33,5.618374912797443,"[0.2712007941033501, 0.14563078126927426, 0.07243318984972119]","[6.224219415823843, 6.181190959894266, 5.600954080514542]","[-0.08384159282719428, 0.07776651192672512, 0.35074905824133396]"
1,0,0,34,9.418050436492733,"[0.4145947595748535, 0.3640764080637192, 0.46013718055234526]","[6.0940331414607245, 2.6409265281397163, 0.009203671746318311]","[0.15527349167520998, -0.3219805616888105, 0.47225273228604114]"
1,0,0,35,5.655361551270679,"[0.024396502518514607, 0.2339192090018431, 0.06078186803428964]","[4.454692558787897, 5.257742061414028, 0.9662225310413011]","[0.4612632621637316, -0.04534943966347149, 0.20815360918985792]"
1,0,0,36,5.696418790474374,"[0.05198656467782642, 0.4881900180961047, 0.0746690391920452]","[3.9410134415938978, 3.6895581603809413, 4.370881475737529]","[-0.27097826414194626, -0.47081401937886025, 0.29872568222126783]"
1,0,0,37,5.8124415985786655,"[0.4024021128319703, 0.43318669161951906, 0.2509502868331522]","[0.15694271458557896, 1.8963035622346236, 5.8600308829685]","[-0.4043428178945023, -0.044547384039233195, -0.09543268178398734]"
1,0,0,38,5.671928962808032,"[0.09488229292067768, 0.34108118536177257, 0.42455754183219496]","[6.168187354628807, 4.5826066050182215, 2.0813005039088583]","[-0.38423546155866084, 0.2232803465029929, -0.4028494364098234]"
1,0,0,39,5.825262814304831,"[0.04843853029798012, 0.3956984510499777, 0.0384804493693503]","[5.998273585534273, 6.258332197787659, 3.437426218358988]","[-0.2293247180491168, -0.2917183941533975, -0.42285757798683976]"
1,0,0,40,5.781225476280297,"[0.15854689398162247, 0.33318021195667263, 0.18171299767002547]","[4.998401240032358, 4.492157784851474, 5.1298148085162305]","[0.031208532748466133, -0.2938224748184878, 0.2007457578995765]"
1,0,0,41,7.806992666168774,"[0.2948396763110417, 0.13201617891056133, 0.3114027528266514]","[2.71492842589903, 5.181199674288685, 1.228163667347941]","[-0.3362939073939629, -0.15433125504396106, -0.09221769709243455]"
1,0,0,42,5.73481733815175,"[0.44253827069291496, 0.06675987616409501, 0.21624024921431467]","[2.574818656257428, 0.9659214720740684, 2.5762193373168514]","[0.2614737970508265, -0.17392794759090602, -0.3572495639243457]"
1,0,0,43,5.564420123876345,"[0.05073321143495757, 0.3249710889383869, 0.31911337627052505]","[1.895163997693938, 0.5745228215092762, 2.809092083020251]","[0.3714602246993225, -0.18015918583120494, 0.09059438184369661]"
1,0,0,44,5.607994310380364,"[0.4859690876614909, 0.42011788499367425, 0.4545457267923622]","[5.067840704050755, 4.294359461031085, 1.4490390106065183]","[0.22578336386771303, 0.4857010560290991, -0.28881140604625033]"
1,0,0,45,5.60038299168576,"[0.01785625132279972, 0.03983071264107818, 0.4156137575439152]","[4.825231137458199, 2.4282234487428362, 0.49977271594338174]","[0.1627747970571184, 0.25425817782469884, 0.0631317459290186]"
1,0,0,46,5.699105478893384,"[0.4090023426849563, 0.454026151377367, 0.44684491123809406]","[1.4369733813730463, 2.292374426862284, 2.4464707582168]","[-0.3063283229775726, 0.4617552206590675, -0.4241588621874606]"
