Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,4,6.914656224210296,"[0.4058873269822538, 0.38898953527576563, 0.34342891471230774]","[5.765026871827161, 0.5635989492269686, 2.7228773781734925]","[-0.4550993824047086, 0.18759823553984278, -0.44453713727549504]"
1,0,1,4,6.9153802594319655,"[0.20500611196914054, 0.05196231337577778, 0.04061140608280123]","[3.8204175607835547, 2.2165748346180982, 3.6090983086816806]","[0.4347952015389439, 0.2714689958778489, -0.18215479094101383]"
1,0,2,4,6.9161032524601955,"[0.20681003970788525, 0.21714000899177222, 0.3152969431969606]","[1.4228833392241163, 4.1878425084084485, 5.814519597904477]","[-0.39275681671561335, 0.4312950926412825, 0.33151707950137344]"
1,0,3,4,6.916824845784395,"[0.08924820039796982, 0.04483701002524326, 0.30202973546151324]","[4.915916814096917, 1.7538434753983754, 2.6832211840311557]","[0.25591181117667894, -0.2980463316007479, -0.1327258597983636]"
1,0,4,4,6.917547436766487,"[0.1375957399283237, 0.3108757498002186, 0.15034787092679897]","[4.505868621171542, 1.8620195929905954, 1.4640909409340976]","[0.4166437131859754, -0.38033129008499567, -0.14813818117457023]"
1,0,0,5,5.749325028376024,"[0.020624033622027915, 0.3179443844600341, 0.07181924209261037]","[4.793204864187063, 3.0838835650679273, 2.4819382142947446]","[0.14066562581681918, -0.09713807429411636, -0.2876515263959082]"
1,0,1,5,5.748909163669909,"[0.30824724716552293, 0.2638742397816241, 0.059660831107598955]","[5.947091985542194, 3.2466227905622995, 2.819592343926922]","[-0.1360854616183249, 0.09558516606158196, -0.36828706612860895]"
1,0,2,5,5.74848793427254,"[0.4993637719745062, 0.3572895988532173, 0.44070745643726533]","[3.2680991875681378, 2.735125927633448, 0.18284302945476474]","[0.202119699221876, -0.3911962976598563, 0.2256717416460965]"
1,0,3,5,5.748060801868927,"[0.07931631452675442, 0.1289464490722529, 0.04758244352322771]","[1.3228228819827852, 5.123004396040633, 4.4550121920725]","[-0.4284224531578259, 0.005314629994633391, 0.33261962907161235]"
1,0,4,5,5.747627563655936,"[0.00510693447397248, 0.12548690912669924, 0.3509289459687127]","[0.4070663222118633, 5.49898182506075, 0.0980907610858006]","[-0.13992828206748398, 0.20543092916556127, -0.2430475764572526]"
1,0,0,6,11.605261355556117,"[0.3523394062382367, 0.4211506016214718, 0.15606839987471732]","[0.3951863012492702, 0.8649111580186389, 5.223475913659993]","[-0.16931142380468434, 0.030352574851163272, -0.24708975899085517]"
1,0,1,6,11.61502447552771,"[0.18044796477847752, 0.14208376746688806, 0.36573229981782024]","[2.4044435158594766, 5.37499605976581, 3.8815990505417166]","[-0.13194472871911656, 0.3548553598433327, -0.39435294134733667]"
1,0,2,6,11.631255860969024,"[0.18472178987801652, 0.2737602089273183, 0.25750962563970364]","[5.4977012874010045, 4.56261337674393, 0.7793152009101987]","[-0.2526223952632859, 0.20122382153794882, 0.34010613689452907]"
1,0,3,6,11.653695749047472,"[0.21084548400582093, 0.4330536710107683, 0.25066464802602134]","[1.0474060274002623, 4.624934804689999, 6.22849412364686]","[0.378109090008912, 0.43259020605256004, -0.17266695262592602]"
1,0,4,6,11.68015033561263,"[0.48710047464837336, 0.42856949501783537, 0.26427264371241066]","[0.598130078280402, 5.520050363506147, 2.1474561561230456]","[0.21309972459387916, -0.4630808108317015, 0.33743702622605276]"
1,0,0,7,8.828382035838501,"[0.39663881188384753, 0.21856193879678737, 0.4226974032689597]","[3.112638792218272, 3.6963946154956937, 1.8320634357524954]","[0.03367176395078064, 0.05666464174527086, 0.11341387047018903]"
1,0,1,7,8.8429377877363,"[0.07860884620886299, 0.46489473541652415, 0.4613025641556436]","[1.0366763407446864, 4.435969362911903, 4.045323145838397]","[0.26096483760558875, -0.07464417702792825, 0.19382791548113598]"
1,0,2,7,8.846074109874666,"[0.43689677420877, 0.48769159754147884, 0.06241601461735119]","[3.5441927594140075, 4.912939361508286, 6.10355809995354]","[0.4763550987764448, 0.19014159599400327, -0.4708327564959943]"
1,0,3,7,8.852716959460464,"[0.3971905831823122, 0.2498815565671772, 0.057982498592942855]","[4.151333996755074, 2.0380631387586137, 1.473602571660211]","[0.48870368991475577, 0.3887778284941259, -0.17080777056450125]"
1,0,4,7,8.858089463032634,"[0.08243846527752507, 0.43616292477803964, 0.10544003731312446]","[1.1507220741500117, 1.5187913865551967, 0.7882581070212529]","[-0.14890987667348232, 0.3523046970712864, 0.006842565278391777]"
1,0,0,8,6.923019236546363,"[0.3260890404433827, 0.012971406158988952, 0.27064340474967036]","[2.0407207696591416, 4.134952605664675, 0.5821067645587433]","[0.4992146827491014, 0.0013225736605528837, 0.34061274539903585]"
1,0,1,8,6.922260440347071,"[0.18723886913298893, 0.10596186692601517, 0.39592344142196884]","[5.570332620587386, 5.907357471576117, 4.080262824569436]","[0.33545149162024934, -0.31493367671812866, 0.4028495221902484]"
1,0,2,8,6.921505433961775,"[0.2819724110499608, 0.11072305456114712, 0.3522866733705352]","[4.779076657022188, 4.828558359992127, 5.992831967800973]","[0.10313479105996948, 0.16521578191851205, -0.11583283292295354]"
1,0,3,8,6.920753818430138,"[0.019099339779654945, 0.02330093432171293, 0.11899222106415641]","[2.349293651193337, 3.4841651743069697, 1.49239688860397]","[-0.17565090638834602, 0.30212979658043204, 0.10800640985724252]"
1,0,4,8,6.920005934725581,"[0.4161632654449983, 0.4486955109826557, 0.23850722403450225]","[5.956641388685737, 0.24586458310155418, 1.8438701188719284]","[0.25497104788239433, -0.2032179840133297, 0.3644155019477975]"
1,0,0,9,6.8142731806194305,"[0.1290190043413617, 0.10852882616754544, 0.09371024753549256]","[0.34758486596443366, 1.980587329349758, 4.661842383036405]","[-0.006506311969693868, 0.10171481716034936, -0.23999428663853573]"
1,0,1,9,6.814948223279398,"[0.4467684683460954, 0.12805607050163043, 0.48479936283875324]","[2.602010652677105, 5.240152555150533, 2.548800539735989]","[-0.1660055139603137, 0.23343124357485534, -0.4786849573347278]"
