Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,0,13.300499309765987,"[0.06531202522326102, 0.012377682910565402, 0.16196060520924932]","[2.2111015647821484, 5.419298430647254, 6.162624986492962]","[0.23417514938560502, -0.1407013049288789, -0.372287021157259]"
1,0,0,1,13.424066447668803,"[0.25498774635791494, 0.20291936301873753, 0.17797822098087823]","[4.871403291003794, 5.219357797147124, 0.7939564692641482]","[0.43206387102039767, -0.4163078412322382, -0.18503013161083648]"
1,0,0,2,13.4389013287378,"[0.04005846909477784, 0.46292127445670517, 0.3755184752294359]","[4.2872348383499785, 6.0748154484424965, 2.104584187800442]","[-0.14501308805507152, 0.10539438489959563, 0.08799000123457335]"
1,0,0,3,12.55656071679127,"[0.45443574573831846, 0.2892829427858137, 0.23102019272087537]","[3.789279120943477, 0.35842317710782456, 1.3689891361268518]","[0.3774033467596358, 0.38741012521466367, 0.1914304961778729]"
1,0,0,4,12.727884386870844,"[0.12765784306078154, 0.30846780776872973, 0.3416687543581107]","[1.274479406115253, 2.937434153255148, 5.014261972872836]","[-0.09124161234532391, -0.455254346494516, 0.04118636961736499]"
1,0,0,5,12.637602250501336,"[0.1382650103936356, 0.24378688450195363, 0.2291455777102256]","[4.086110034994359, 2.1454103234427353, 4.088212985067546]","[0.4415769519224504, -0.16024429680616614, -0.17407991157969782]"
1,0,0,6,12.89028094616988,"[0.3347681400606205, 0.4052797028658483, 0.22872719251304569]","[5.218122248234562, 2.69380598786943, 0.4003808614512156]","[-0.48840072063421813, -0.17944281917434424, -0.09038738131225543]"
1,0,0,7,13.226138009172537,"[0.20215744979410433, 0.12427871332145535, 0.407629374736267]","[1.343041955497696, 1.3745602334788614, 0.3045371346725002]","[-0.45592225125083774, 0.3994118096494301, 0.3124232763134718]"
1,0,0,8,13.479180756683878,"[0.3743772486838371, 0.4911965376436708, 0.28704728379865685]","[3.2000441321655404, 4.674033961857527, 5.349245420426303]","[-0.3794176020952693, 0.3387370513607004, -0.1674980839099165]"
1,0,0,9,13.263135054385142,"[0.12754323642865195, 0.1594285238854088, 0.45804904257304435]","[5.984931574825612, 0.7602847927865558, 5.398871850192577]","[-0.017297094252102463, 0.12542510791499129, 0.2638710984704231]"
1,0,0,10,13.012868707854116,"[0.23400102122764038, 0.2808908327109295, 0.013915456069227283]","[5.927418430832981, 0.5229564280354778, 3.615964770305098]","[-0.032563238101344094, 0.3427365887170122, -0.41691759959230545]"
1,0,0,11,12.95851973810964,"[0.2863504325841313, 0.28458523437317895, 0.20156582010486213]","[0.15454193461942922, 3.7231635487758057, 2.9024644197796494]","[0.36703498137669677, 0.2743008934009491, -0.08971272913245332]"
1,0,0,12,13.29429518806026,"[0.23225418101772694, 0.19057824372169468, 0.02937255488364454]","[0.6116422543717749, 5.311082032383318, 1.722925479106126]","[-0.03874769881714635, -0.22839262868923282, -0.40483626403636896]"
1,0,0,13,13.161522878299964,"[0.10929097481083211, 0.054891569162559606, 0.2404711356543343]","[4.09357854887408, 4.9782227872846265, 5.858910255571445]","[0.4235393879291607, -0.41230124090711806, 0.49197283013728466]"
1,0,0,14,12.587526577001833,"[0.07414955335213558, 0.281217055608068, 0.3701780248787696]","[1.0275334968942418, 5.5636202719898415, 0.12772636887344938]","[0.114893860462836, -0.008894462187782337, 0.45907176372526504]"
1,0,0,15,13.059515801645434,"[0.3107671661313153, 0.1437470799875345, 0.3869508101817097]","[0.09700974287945834, 5.837706854819238, 0.8621013908206652]","[0.3319690762715979, -0.2723241539092329, -0.45382078422270644]"
1,0,0,16,13.107072145344246,"[0.4085340171564338, 0.12925783869968688, 0.37578913692796984]","[4.1433599316494405, 3.9898258571531904, 5.722761657726146]","[-0.1060733592753712, 0.017063853225573133, -0.0867269819256179]"
1,0,0,17,12.76308484047554,"[0.23091511943728882, 0.46729153475308066, 0.2572484253175343]","[2.7553675385148853, 1.4251693436608583, 0.3675838429309697]","[-0.4101435189891447, -0.4008897860925661, -0.41591985461799785]"
1,0,0,18,13.662969995509748,"[0.4562636382207978, 0.2995658910026653, 0.019814026263135998]","[5.844275472460234, 1.1454151225819116, 3.725253464931782]","[-0.2380321198829599, -0.14879765094172726, -0.4668913051734932]"
1,0,0,19,12.824498824768181,"[0.19400578756425874, 0.4028400950005291, 0.413030233620638]","[2.2029913318454004, 1.2405042629735583, 0.9837979774969028]","[-0.3335905552921423, -0.16827084909629242, 0.2066542882687058]"
1,0,0,20,12.94796406000749,"[0.12825701949301332, 0.1006602634153741, 0.3365072177313805]","[5.972601092374846, 1.6416962900720264, 1.695063094773692]","[0.012843265731186992, 0.09967191254167607, 0.047021819713190305]"
1,0,0,21,13.066260421906774,"[0.0701083022152536, 0.22302092049768846, 0.3949676507168505]","[0.3578512656061041, 2.4815648773165475, 1.7715509524550905]","[0.04257603407399968, 0.3379395908515298, 0.45401823339961134]"
1,0,0,22,13.578263559590734,"[0.38508268065618345, 0.38872378661213924, 0.48686166704165673]","[4.137040658229087, 4.2508208723940735, 1.7814339911376997]","[0.0908914505838112, -0.1556947029099579, 0.372720287835168]"
1,0,0,23,12.704387671628186,"[0.34394526206234644, 0.46611962065859913, 0.4906166310129619]","[1.292050062009414, 3.207844838594779, 1.6361532849510765]","[-0.26648562298193945, 0.49876550363414274, 0.09612841216621992]"
1,0,0,24,13.209186164602556,"[0.08783713643087437, 0.3958189351071242, 0.19529957626024003]","[2.8059267370215992, 3.4074443730124986, 0.2376674304847995]","[-0.3041527058196053, -0.37199576868398854, -0.4173648500541287]"
1,0,0,25,13.201549576384936,"[0.16094546113754987, 0.4274557271327836, 0.3961453543944892]","[2.268577392652005, 4.634705422065496, 5.54577786070592]","[0.1777517581707212, -0.40510482287104743, 0.023603850712954122]"
1,0,0,26,12.980251208473014,"[0.40974741524780534, 0.252451345093655, 0.48729119674775684]","[1.6588535964996922, 0.09326244318368994, 3.395846988503488]","[0.236211989765011, 0.45485823203784004, 0.08248497760067686]"
1,0,0,27,13.121287320039256,"[0.011126297615626057, 0.11420038536403931, 0.18699432911909175]","[1.9947131882074176, 2.1813188379866286, 6.177494596882464]","[0.0798870613586864, 0.20583155091718697, -0.16806037312597888]"
1,0,0,28,13.1741287926723,"[0.36716584093803395, 0.4588832421981661, 0.4756948439405005]","[0.18304722340496385, 5.111362929113473, 2.164099024305418]","[0.16933788971383257, -0.045314390823983586, 0.3918849502023588]"
1,0,0,29,13.06899364355664,"[0.050160847755451154, 0.40927167260359876, 0.3635266555500761]","[3.743214727390911, 1.4281164341082708, 0.18759389989023373]","[0.0891734015965846, -0.35698909727456274, 0.26720336333541794]"
1,0,0,30,12.965524482586673,"[0.2443229327500292, 0.286740029891859, 0.10142876964308634]","[6.1567346936680325, 0.2933740166344114, 1.2324090091840234]","[-0.40720057093938256, 0.4964250758662643, -0.06932527780684083]"
1,0,0,31,13.361354116218806,"[0.4447115479640439, 0.3715140271111719, 0.040041975167022514]","[1.5171145736154468, 5.761423558769724, 4.494246016478877]","[-0.02117108307289961, -0.274967967430793, 0.40583560439217115]"
1,0,0,32,13.411978568327052,"[0.36408900310856185, 0.36969463244247386, 0.285458353738336]","[4.980197750330797, 0.9699303899838048, 4.2258632033371475]","[0.35278206921898647, -0.31242670499537695, 0.20733209333235925]"
1,0,0,33,13.781055840409824,"[0.3281534621353205, 0.41440778732761696, 0.28767217493941594]","[2.0705905640365074, 4.072826355103774, 5.858780294657959]","[-0.22719568068384832, -0.47192136223613235, -0.16102928727627563]"
1,0,0,34,12.917454047797468,"[0.2934795462355698, 0.3545464656730408, 0.4683661232245972]","[4.044925581997634, 3.9838158718104744, 0.46411876387990914]","[0.04120053392641432, -0.3856242620989375, -0.029870298770500292]"
1,0,0,35,13.08967445206724,"[0.21615235223458462, 0.4465441043923653, 0.020908987333620344]","[5.420887022530865, 5.398161421221929, 6.089687280334183]","[0.48896700297465434, -0.23680312505417844, -0.1149781267287957]"
1,0,0,36,13.30523171694913,"[0.3054106410064766, 0.3842603803510021, 0.010433932251879663]","[2.9607006424417404, 1.2784166960429784, 2.385636108787317]","[-0.031093450903955766, -0.026733993554309388, 0.12106638496304245]"
1,0,0,37,12.990152258383812,"[0.02381781102950009, 0.4341970479311368, 0.4977463324742029]","[3.884991040835621, 3.8545691420716293, 2.83881128532753]","[0.29172790618210176, -0.17989313839544885, -0.2617428690989193]"
1,0,0,38,13.632869824001508,"[0.34939743473999757, 0.1072593711679225, 0.46286264705108465]","[5.075592836670227, 4.761955630097494, 4.740457582512138]","[-0.08632678258749071, -0.18921509259131108, 0.40916187370195856]"
1,0,0,39,12.87523407694039,"[0.020443483543142293, 0.11927673567710034, 0.23974993886150914]","[0.2972462888267095, 2.5275674043069642, 3.977083931131401]","[-0.39926936875464236, 0.07669691994898131, 0.48627852042877984]"
1,0,0,40,12.997249602924528,"[0.2012332496473046, 0.11053061054728613, 0.4274435458767359]","[0.3040395479470042, 5.006499887435931, 1.227949735176956]","[0.016543492009489458, -0.28763489829221733, -0.2748033456048252]"
